media_company,url
경향신문,https://media.naver.com/press/032
국민일보,https://media.naver.com/press/005
동아일보,https://media.naver.com/press/020
문화일보,https://media.naver.com/press/021
서울신문,https://media.naver.com/press/081
세계일보,https://media.naver.com/press/022
조선일보,https://media.naver.com/press/023
중앙일보,https://media.naver.com/press/025
한겨레,https://media.naver.com/press/028
한국일보,https://media.naver.com/press/469
JTBC,https://media.naver.com/press/437
KBS,https://media.naver.com/press/056
MBC,https://media.naver.com/press/214
MBN,https://media.naver.com/press/057
SBS,https://media.naver.com/press/055
SBS Biz,https://media.naver.com/press/374
TV조선,https://media.naver.com/press/448
YTN,https://media.naver.com/press/052
뉴스1,https://media.naver.com/press/421
뉴시스,https://media.naver.com/press/003
연합뉴스,https://media.naver.com/press/001
연합뉴스TV,https://media.naver.com/press/422
채널A,https://media.naver.com/press/449
한국경제TV,https://media.naver.com/press/215
매일경제,https://media.naver.com/press/009
머니투데이,https://media.naver.com/press/008
비즈워치,https://media.naver.com/press/648
서울경제,https://media.naver.com/press/011
아시아경제,https://media.naver.com/press/277
이데일리,https://media.naver.com/press/018
조선비즈,https://media.naver.com/press/366
조세일보,https://media.naver.com/press/123
파이낸셜뉴스,https://media.naver.com/press/014
한국경제,https://media.naver.com/press/015
헤럴드경제,https://media.naver.com/press/016
노컷뉴스,https://media.naver.com/press/079
더팩트,https://media.naver.com/press/629
데일리안,https://media.naver.com/press/119
디지털데일리,https://media.naver.com/press/138
디지털타임스,https://media.naver.com/press/029
머니S,https://media.naver.com/press/417
미디어오늘,https://media.naver.com/press/006
블로터,https://media.naver.com/press/293
아이뉴스24,https://media.naver.com/press/031
오마이뉴스,https://media.naver.com/press/047
전자신문,https://media.naver.com/press/030
지디넷코리아,https://media.naver.com/press/092
프레시안,https://media.naver.com/press/002
더스쿠프,https://media.naver.com/press/665
레이디경향,https://media.naver.com/press/145
매경이코노미,https://media.naver.com/press/024
시사IN,https://media.naver.com/press/308
시사저널,https://media.naver.com/press/586
신동아,https://media.naver.com/press/262
월간 산,https://media.naver.com/press/094
이코노미스트,https://media.naver.com/press/243
주간경향,https://media.naver.com/press/033
주간동아,https://media.naver.com/press/037
주간조선,https://media.naver.com/press/053
중앙SUNDAY,https://media.naver.com/press/353
한겨레21,https://media.naver.com/press/036
한경비즈니스,https://media.naver.com/press/050
기자협회보,https://media.naver.com/press/127
농민신문,https://media.naver.com/press/662
뉴스타파,https://media.naver.com/press/607
동아사이언스,https://media.naver.com/press/584
여성신문,https://media.naver.com/press/310
일다,https://media.naver.com/press/007
코리아중앙데일리,https://media.naver.com/press/640
코리아헤럴드,https://media.naver.com/press/044
코메디닷컴,https://media.naver.com/press/296
헬스조선,https://media.naver.com/press/346
CJB청주방송,https://media.naver.com/press/655
JIBS,https://media.naver.com/press/661
kbc광주방송,https://media.naver.com/press/660
강원도민일보,https://media.naver.com/press/654
강원일보,https://media.naver.com/press/087
경기일보,https://media.naver.com/press/666
국제신문,https://media.naver.com/press/658
대구MBC,https://media.naver.com/press/657
대전일보,https://media.naver.com/press/656
매일신문,https://media.naver.com/press/088
부산일보,https://media.naver.com/press/082
전주MBC,https://media.naver.com/press/659
